#bundle=v2.18.0#count=753
balti.xposed.pixelifygooglephotos/balti.xposed.pixelifygooglephotos.ActivityMain	pixelify_gphotos
com.android.contacts/com.android.contacts.activities.FineOSPeopleActivity	google_contacts
com.android.contacts/com.android.contacts.activities.LenovoStyleActivity	google_contacts
com.android.contacts/com.android.contacts.activities.PCUDialtactsActivity	google_contacts
com.android.contacts/com.android.contacts.activities.PeopleActivity	google_contacts
com.android.contacts/com.android.contacts.activities.PeopleActivityEx	google_contacts
com.android.contacts/com.android.contacts.activities.PhoneFrontDoor	google_contacts
com.android.contacts/com.android.contacts.activities.TwelveKeyDialer	generic_dialer
com.android.contacts/com.android.contacts.activities.WtDialerActivity	google_contacts
com.android.contacts/com.android.contacts.att.ATTContactsActivity	google_contacts
com.android.contacts/com.android.contacts.dialer.DialerPhoneActivity	google_contacts
com.android.contacts/com.android.contacts.ice.IcePeopleActivity	google_contacts
com.android.contacts/com.android.contacts.mainlist.PeopleActivity	google_contacts
com.android.contacts/com.android.contacts.tmo.LaunchCommunityActivity	google_contacts
com.android.contacts/com.android.dcm.DCMActivity	google_contacts
com.android.contacts/com.android.dialer.DialtactsActivity	google_contacts
com.android.contacts/com.android.dialer.TwelveKeyDialer	generic_dialer
com.android.contacts/com.android.dialer.activities.DialtactsActivity	google_contacts
com.android.contacts/com.android.dialer.app.DialtactsActivity	google_contacts
com.android.contacts/com.android.internal.app.ResolverActivity	google_contacts
com.android.contacts/com.android.mms.ui.ConversationList	google_contacts
com.android.contacts/com.android.mms.ui.SearchActivity	google_contacts
com.android.contacts/com.app.contacts.PhoneBookTopMenuActivity	google_contacts
com.android.contacts/com.com.android.contacts.activities.TwelveKeyDialersec.android.app.contacts.PhoneBookTopMenuActivity	google_contacts
com.android.contacts/com.freeme.contacts.FreemePeopleActivity	google_contacts
com.android.contacts/com.gionee.contacts.activities.BaseActivity	google_contacts
com.android.contacts/com.jeffprod.cubesolver.MainActivity	google_contacts
com.android.contacts/com.oneplus.contacts.activities.OPDialtactsActivity	google_contacts
com.android.contacts/com.oneplus.contacts.activities.OPPeopleActivity	google_contacts
com.android.contacts/com.oppo.contacts.OppoDialtactsActivity	google_contacts
com.android.contacts/com.prc.activities.ToDialerActivity	generic_dialer
com.android.contacts/com.sec.android.app.contacts.ContactListActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.ContactsEntryActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.DialerEntryActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.GroupMemberListActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.PhoneBookSplitTopMenuActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.PhoneBookTopMenuActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.RecntcallEntryActivity	google_contacts
com.android.contacts/com.sec.android.app.contacts.contacts_blueEntryActivity	google_contacts
com.android.deskclock/.AlarmsMainActivity	generic_clock
com.android.deskclock/.DeskClock	generic_clock
com.android.deskclock/com.android.clock.Clock	generic_clock
com.android.deskclock/com.android.clock.Clockk	generic_clock
com.android.deskclock/com.android.deskclock.AlarmClock	generic_clock
com.android.deskclock/com.android.deskclock.AlarmMainActivity	generic_clock
com.android.deskclock/com.android.deskclock.AlarmsMainActivity	generic_clock
com.android.deskclock/com.android.deskclock.ClockActivity	generic_clock
com.android.deskclock/com.android.deskclock.ClockPackage	generic_clock
com.android.deskclock/com.android.deskclock.ClockTabStyle	generic_clock
com.android.deskclock/com.android.deskclock.DeskClock	generic_clock
com.android.deskclock/com.android.deskclock.DeskClockActivity	generic_clock
com.android.deskclock/com.android.deskclock.DeskClockGroupActivity	generic_clock
com.android.deskclock/com.android.deskclock.DeskClockMainActivity	generic_clock
com.android.deskclock/com.android.deskclock.DeskClockTabActivity	generic_clock
com.android.deskclock/com.android.deskclock.InitTab	generic_clock
com.android.deskclock/com.android.deskclock.MainActivity	generic_clock
com.android.deskclock/com.android.deskclock.MultiClockTab	generic_clock
com.android.deskclock/com.android.deskclock.StopwatchActivity	generic_clock
com.android.deskclock/com.android.deskclock.TabDetails	generic_clock
com.android.deskclock/com.android.main.TabsActivity	generic_clock
com.android.deskclock/com.android.worldclock.TYClock	generic_clock
com.android.deskclock/com.apalon.myclockfree.MainActivity	generic_clock
com.android.deskclock/com.hisense.timetools.TimeToolsMainActivity	generic_clock
com.android.deskclock/com.jrdcom.timetool.TimeToolActivity	generic_clock
com.android.deskclock/com.pantech.app.clock.ClockLauncher	generic_clock
com.android.fileexplorer/com.android.fileexplorer.FileExplorerTabActivity	generic_files
com.android.fileexplorer/com.android.fileexplorer.MainActivity	generic_files
com.android.mms/.ui.BootActivity	messages
com.android.mms/.ui.ConversationList	messages
com.android.mms/.ui.MmsTabActivity	messages
com.android.mms/com.android.mms.MainUISelection	messages
com.android.mms/com.android.mms.MultipleActivitiesMain	messages
com.android.mms/com.android.mms.mainUISelection	messages
com.android.mms/com.android.mms.tab.MmsMainActivity	messages
com.android.mms/com.android.mms.ui.BootActivity	messages
com.android.mms/com.android.mms.ui.CmasListActivityShortCut	messages
com.android.mms/com.android.mms.ui.ComposeMessageActivity	messages
com.android.mms/com.android.mms.ui.ConversationComposer	messages
com.android.mms/com.android.mms.ui.ConversationList	messages
com.android.mms/com.android.mms.ui.EntryActivity	messages
com.android.mms/com.android.mms.ui.FunctionSwitchActivity	messages
com.android.mms/com.android.mms.ui.LaunchActivity	messages
com.android.mms/com.android.mms.ui.MainLayerTabSwitchActivity	messages
com.android.mms/com.android.mms.ui.MainUISelectionActivity	messages
com.android.mms/com.android.mms.ui.MessageTabActivity	messages
com.android.mms/com.android.mms.ui.MmsTabActivity	messages
com.android.mms/com.android.mms.ui.ModeActivity	messages
com.android.mms/com.android.mms.ui.ModeChooser	messages
com.android.mms/com.android.mms.ui.PermissionActivity	messages
com.android.mms/com.android.mms.ui.UiController	messages
com.android.mms/com.android.mms.ui.ViewControllerActivity	messages
com.android.mms/com.android.mms.ui.VissageActivity	messages
com.android.mms/com.android.mms.ui.VoiceMailTabActivity	messages
com.android.mms/com.android.mms.ui.cellon.CellonMainTraditional	messages
com.android.mms/com.android.mms.ui.traditional.MessageLaunchActivity	messages
com.android.mms/com.freeme.mms.FreemeConversationList	messages
com.android.mms/com.gionee.mms.ui.TabActivity	messages
com.android.mms/com.qiku.android.mms.ui.MmsConversationListActivity	messages
com.android.mms/com.yulong.android.contacts.dial.DialActivity	messages
com.android.mms/com.yulong.android.contacts.ui.main.ContactMainActivity	messages
com.android.mms/com.yulong.android.mms.ui.MmsConversationListActivity	messages
com.android.mms/com.yulong.android.mms.ui.MmsMainListFormActivity	messages
com.android.providers.downloads.ui/.DownloadList	generic_download_arrow
com.android.providers.downloads.ui/com.android.providers.downloads.ui.DownloadActivity	generic_download_arrow
com.android.providers.downloads.ui/com.android.providers.downloads.ui.DownloadList	generic_download_arrow
com.android.providers.downloads.ui/com.android.providers.downloads.ui.DownloadListStock	generic_download_arrow
com.android.providers.downloads.ui/com.android.providers.downloads.ui.DownloadPagerActivity	generic_download_arrow
com.android.providers.downloads.ui/com.android.providers.downloads.ui.DownloadTabActivity	generic_download_arrow
com.android.providers.downloads.ui/com.android.providers.downloads.ui.DownloadsListTab	generic_download_arrow
com.android.providers.downloads.ui/com.android.providers.downloads.ui.FilesList	generic_download_arrow
com.android.providers.downloads.ui/com.android.providers.downloads.ui.GnDownloadTabActivity	generic_download_arrow
com.android.providers.downloads.ui/com.android.providers.downloads.ui.TrampolineActivity	generic_download_arrow
com.android.providers.downloads.ui/com.android.providers.downloads.ui.activity.DownloadListEntry	generic_download_arrow
com.android.settings/.HWSettings	generic_settings
com.android.settings/.MainSettings	generic_settings
com.android.settings/.Settings	generic_settings
com.android.settings/.framework.activity.HtcSettings	generic_settings
com.android.settings/com.android.internal.app.ResolverActivity	generic_settings
com.android.settings/com.android.kc_settings.LauncherActivity	generic_settings
com.android.settings/com.android.kc_settings.common.LauncherActivity	generic_settings
com.android.settings/com.android.settings.ApplicationSettings	generic_settings
com.android.settings/com.android.settings.DisplaySettings	generic_settings
com.android.settings/com.android.settings.FaceUnlockSettingActivity	generic_settings
com.android.settings/com.android.settings.FireFlyMobile	generic_settings
com.android.settings/com.android.settings.GnSettingsTabActivity	generic_settings
com.android.settings/com.android.settings.GridSettings	generic_settings
com.android.settings/com.android.settings.HWSettings	generic_settings
com.android.settings/com.android.settings.HotspotSettings	generic_settings
com.android.settings/com.android.settings.KeypadActivity	generic_settings
com.android.settings/com.android.settings.KstFaceLockActivity	generic_settings
com.android.settings/com.android.settings.LavaOtaActivity	generic_settings
com.android.settings/com.android.settings.LewaSettings	generic_settings
com.android.settings/com.android.settings.MacSettings	generic_settings
com.android.settings/com.android.settings.MainActivity	generic_settings
com.android.settings/com.android.settings.MainEntry	generic_settings
com.android.settings/com.android.settings.MainSettingActivity	generic_settings
com.android.settings/com.android.settings.MainSettings	generic_settings
